,Position 1,Position 2,Position 3,Position 4,Position 5
A,0.0565,0.1667,0.1239,0.0645,0.037
B,0.0783,0.0043,0.0196,0.0152,0.0036
C,0.0812,0.0123,0.0275,0.0558,0.0109
D,0.0507,0.0101,0.0304,0.0449,0.0638
E,0.029,0.1167,0.0768,0.1819,0.1449
F,0.0572,0.0022,0.0058,0.0087,0.0065
G,0.0341,0.0036,0.0304,0.0246,0.0123
H,0.0312,0.0616,0.0043,0.0138,0.0457
I,0.0159,0.108,0.0957,0.071,0.0072
J,0.0167,0.0,0.0022,0.0,0.0
K,0.0167,0.0029,0.0138,0.0304,0.029
L,0.0522,0.0696,0.0696,0.0667,0.0457
M,0.0551,0.0123,0.0283,0.0268,0.013
N,0.0196,0.0254,0.0841,0.079,0.0594
O,0.0167,0.1551,0.0906,0.0486,0.0268
P,0.0572,0.0225,0.0188,0.0203,0.0072
Q,0.0072,0.0014,0.0,0.0014,0.0
R,0.0428,0.0971,0.0848,0.0659,0.0674
S,0.1268,0.0123,0.0348,0.0507,0.2449
T,0.0754,0.0254,0.0507,0.071,0.079
U,0.0109,0.0594,0.0478,0.0239,0.0007
V,0.0167,0.0043,0.0268,0.0145,0.0
W,0.0399,0.0101,0.0072,0.0094,0.0043
X,0.0022,0.0043,0.0101,0.0007,0.0072
Y,0.008,0.0101,0.0109,0.0058,0.0819
Z,0.0014,0.0014,0.0043,0.0036,0.0007
